"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2020","3,984.09","3,988.90","4,026.54","3,983.86","-","-0.12%"
"Aug 07, 2020","3,988.90","3,968.74","4,003.18","3,968.74","-","0.51%"
"Aug 06, 2020","3,968.74","3,932.35","3,969.51","3,917.71","-","0.93%"
"Aug 05, 2020","3,932.35","3,926.25","3,979.06","3,926.25","-","0.16%"
"Aug 04, 2020","3,926.25","3,946.52","4,008.35","3,925.87","-","-0.51%"
"Aug 03, 2020","3,946.52","4,017.08","4,017.08","3,946.52","-","-1.76%"
"Jul 31, 2020","4,017.08","3,953.30","4,017.08","3,953.30","-","1.61%"
"Jul 30, 2020","3,953.30","3,983.25","3,983.25","3,919.24","-","-0.75%"
"Jul 29, 2020","3,983.25","4,055.59","4,055.59","3,969.25","-","-1.78%"
"Jul 28, 2020","4,055.59","4,062.65","4,086.88","4,055.18","-","-0.17%"
"Jul 27, 2020","4,062.65","4,014.88","4,071.46","4,014.88","-","1.19%"
"Jul 24, 2020","4,014.88","3,984.28","4,029.43","3,956.48","-","0.77%"
"Jul 23, 2020","3,984.28","3,944.82","4,026.37","3,940.04","-","1.00%"
"Jul 22, 2020","3,944.82","3,887.28","3,966.92","3,865.31","-","1.48%"
"Jul 21, 2020","3,887.28","3,924.61","3,938.53","3,882.87","-","-0.95%"
"Jul 20, 2020","3,924.61","3,994.73","3,994.73","3,891.36","-","-1.76%"
"Jul 17, 2020","3,994.73","4,041.62","4,047.76","3,968.61","-","-1.16%"
"Jul 15, 2020","4,041.62","4,180.91","4,206.05","4,041.62","-","-3.33%"
"Jul 14, 2020","4,180.91","4,115.28","4,181.06","4,081.60","-","1.59%"
"Jul 13, 2020","4,115.28","4,029.40","4,142.33","4,029.40","-","2.13%"
"Jul 10, 2020","4,029.40","4,032.15","4,043.42","3,999.82","-","-0.07%"
"Jul 09, 2020","4,032.15","4,185.91","4,185.91","4,008.10","-","-3.67%"
"Jul 08, 2020","4,185.91","4,257.67","4,259.50","4,135.14","-","-1.69%"
"Jul 07, 2020","4,257.67","4,284.42","4,284.42","4,214.24","-","-0.62%"
"Jul 06, 2020","4,284.42","4,202.17","4,310.22","4,202.17","-","1.96%"
"Jul 03, 2020","4,202.17","4,177.89","4,224.38","4,172.17","-","0.58%"
"Jul 02, 2020","4,177.89","4,037.07","4,179.43","4,037.07","-","3.49%"
"Jul 01, 2020","4,037.07","3,959.02","4,046.39","3,959.02","-","1.97%"
"Jun 30, 2020","3,959.02","3,990.95","4,009.83","3,959.02","-","-0.80%"
"Jun 26, 2020","3,990.95","4,038.31","4,046.14","3,990.59","-","-1.17%"
"Jun 25, 2020","4,038.31","4,036.23","4,050.91","4,005.23","-","0.05%"
"Jun 24, 2020","4,036.23","4,031.73","4,046.84","4,001.36","-","0.11%"
"Jun 23, 2020","4,031.73","3,998.52","4,031.73","3,974.34","-","0.83%"
"Jun 22, 2020","3,998.52","4,026.79","4,042.47","3,975.62","-","-0.70%"
"Jun 19, 2020","4,026.79","3,990.77","4,039.73","3,990.77","-","0.90%"
"Jun 18, 2020","3,990.77","3,996.60","4,006.24","3,974.02","-","-0.15%"
"Jun 17, 2020","3,996.60","3,939.79","4,024.38","3,939.79","-","1.44%"
"Jun 16, 2020","3,939.79","3,893.13","3,981.46","3,893.13","-","1.20%"
"Jun 15, 2020","3,893.13","3,981.84","3,981.84","3,888.23","-","-2.23%"
"Jun 12, 2020","3,981.84","3,944.23","4,019.20","3,944.23","-","0.95%"
"Jun 11, 2020","3,944.23","4,063.89","4,063.89","3,926.82","-","-2.94%"
"Jun 10, 2020","4,063.89","4,126.17","4,145.92","4,062.53","-","-1.51%"
"Jun 09, 2020","4,126.17","4,139.89","4,148.38","4,043.29","-","-0.33%"
"Jun 08, 2020","4,139.89","4,033.42","4,149.02","4,033.42","-","2.64%"
"Jun 05, 2020","4,033.42","3,885.41","4,055.09","3,885.41","-","3.81%"
"Jun 04, 2020","3,885.41","3,833.47","3,885.41","3,793.76","-","1.35%"
"Jun 03, 2020","3,833.47","3,750.37","3,833.47","3,749.81","-","2.22%"
"Jun 02, 2020","3,750.37","3,685.72","3,776.27","3,685.72","-","1.75%"
"Jun 01, 2020","3,685.72","3,647.60","3,714.61","3,616.68","-","1.05%"
"May 29, 2020","3,647.60","3,658.11","3,661.11","3,591.31","-","-0.29%"
"May 28, 2020","3,658.11","3,769.32","3,775.78","3,654.83","-","-2.95%"
"May 27, 2020","3,769.32","3,733.78","3,781.17","3,721.22","-","0.95%"
"May 26, 2020","3,733.78","3,751.39","3,792.53","3,727.53","-","-0.47%"
"May 25, 2020","3,751.39","3,723.57","3,782.96","3,706.73","-","0.75%"
"May 22, 2020","3,723.57","3,755.08","3,776.96","3,716.62","-","-0.84%"
"May 20, 2020","3,755.08","3,729.97","3,775.30","3,729.97","-","0.67%"
"May 19, 2020","3,729.97","3,763.21","3,796.27","3,729.86","-","-0.88%"
"May 18, 2020","3,763.21","3,622.15","3,782.21","3,622.15","-","3.89%"
"May 15, 2020","3,622.15","3,641.64","3,680.11","3,611.36","-","-0.54%"
"May 14, 2020","3,641.64","3,604.91","3,669.15","3,534.32","-","1.02%"
"May 13, 2020","3,604.91","3,734.75","3,737.09","3,542.98","-","-3.48%"
"May 12, 2020","3,734.75","3,811.75","3,863.03","3,734.28","-","-2.02%"
"May 11, 2020","3,811.75","3,818.24","3,856.62","3,793.50","-","-0.17%"
"May 08, 2020","3,818.24","3,999.54","4,026.75","3,818.24","-","-4.53%"
"May 07, 2020","3,999.54","3,964.94","4,036.99","3,964.94","-","0.87%"
"May 06, 2020","3,964.94","3,922.40","3,992.32","3,922.40","-","1.08%"
"May 05, 2020","3,922.40","3,853.27","3,946.60","3,853.27","-","1.79%"
"May 04, 2020","3,853.27","3,977.56","3,980.42","3,829.37","-","-3.12%"
"Apr 30, 2020","3,977.56","4,014.70","4,017.47","3,943.62","-","-0.93%"
"Apr 29, 2020","4,014.70","3,900.92","4,020.21","3,900.92","-","2.92%"
"Apr 28, 2020","3,900.92","3,810.89","3,925.36","3,810.89","-","2.34%"
"Apr 27, 2020","3,811.71","3,679.67","3,811.73","3,679.67","-","3.59%"
"Apr 24, 2020","3,679.67","3,748.49","3,754.16","3,679.28","-","-1.84%"
"Apr 23, 2020","3,748.49","3,678.50","3,748.84","3,678.50","-","1.90%"
"Apr 22, 2020","3,678.50","3,652.87","3,716.16","3,652.87","-","0.70%"
"Apr 21, 2020","3,652.87","3,748.31","3,748.31","3,645.38","-","-2.55%"
"Apr 20, 2020","3,748.31","3,819.61","3,822.83","3,748.24","-","-1.87%"
"Apr 17, 2020","3,819.61","3,802.47","3,899.89","3,802.47","-","0.45%"
"Apr 16, 2020","3,802.47","3,854.71","3,868.87","3,784.70","-","-1.36%"
"Apr 15, 2020","3,854.71","3,919.91","3,924.13","3,838.18","-","-1.66%"
"Apr 14, 2020","3,919.91","3,859.16","3,930.67","3,859.16","-","1.57%"
"Apr 13, 2020","3,859.16","3,822.18","3,859.84","3,758.03","-","0.97%"
"Apr 09, 2020","3,822.18","3,759.76","3,860.98","3,759.76","-","1.66%"
"Apr 08, 2020","3,759.76","3,711.66","3,788.07","3,711.59","-","1.30%"
"Apr 07, 2020","3,711.66","3,748.47","3,824.01","3,711.05","-","-0.98%"
"Apr 06, 2020","3,748.47","3,674.43","3,815.64","3,674.43","-","2.02%"
"Apr 03, 2020","3,674.43","3,559.25","3,695.11","3,559.25","-","3.24%"
"Apr 02, 2020","3,559.25","3,421.39","3,609.08","3,421.39","-","4.03%"
"Apr 01, 2020","3,421.39","3,487.49","3,487.49","3,343.62","-","-1.90%"
"Mar 31, 2020","3,487.49","3,316.27","3,513.06","3,316.27","-","5.16%"
"Mar 30, 2020","3,316.27","3,228.37","3,358.34","3,228.37","-","2.72%"
"Mar 27, 2020","3,228.37","3,214.57","3,240.64","3,135.46","-","0.43%"
"Mar 26, 2020","3,214.57","3,123.13","3,364.69","3,067.42","-","2.93%"
"Mar 25, 2020","3,123.13","2,894.74","3,146.73","2,894.74","-","7.89%"
"Mar 24, 2020","2,894.74","2,897.83","3,100.76","2,894.01","-","-0.11%"
"Mar 23, 2020","2,897.83","3,077.18","3,128.02","2,896.91","-","-5.83%"
"Mar 20, 2020","3,077.18","3,081.43","3,310.93","3,075.96","-","-0.14%"
"Mar 19, 2020","3,081.43","2,876.03","3,178.23","2,876.03","-","7.14%"
"Mar 18, 2020","2,876.03","3,271.40","3,271.40","2,850.78","-","-12.09%"
"Mar 17, 2020","3,271.40","3,232.36","3,395.34","3,219.54","-","1.21%"
"Mar 16, 2020","3,232.36","3,763.57","3,765.08","3,224.82","-","-14.11%"
"Mar 13, 2020","3,763.57","3,727.60","3,886.33","3,683.47","-","0.96%"
"Mar 12, 2020","3,727.60","3,979.67","3,979.67","3,704.09","-","-6.33%"
"Mar 11, 2020","3,979.67","4,070.29","4,073.13","3,972.71","-","-2.23%"
"Mar 10, 2020","4,070.29","4,035.54","4,168.28","4,035.54","-","0.86%"
"Mar 09, 2020","4,035.54","4,229.46","4,229.46","4,035.54","-","-4.58%"
"Mar 06, 2020","4,229.46","4,324.09","4,324.09","4,228.82","-","-2.19%"
"Mar 05, 2020","4,324.09","4,366.36","4,366.36","4,298.56","-","-0.97%"
"Mar 04, 2020","4,366.36","4,289.40","4,368.06","4,289.40","-","1.79%"
"Mar 03, 2020","4,289.40","4,283.63","4,368.63","4,282.21","-","0.13%"
"Mar 02, 2020","4,283.63","4,122.63","4,286.79","4,121.42","-","3.91%"
"Feb 28, 2020","4,122.63","4,263.24","4,263.24","4,122.63","-","-3.30%"
"Feb 27, 2020","4,263.24","4,297.70","4,299.74","4,203.91","-","-0.80%"
"Feb 26, 2020","4,297.70","4,361.41","4,363.65","4,297.70","-","-1.46%"
"Feb 25, 2020","4,361.41","4,430.63","4,439.09","4,361.41","-","-1.56%"
"Feb 24, 2020","4,430.63","4,532.62","4,532.62","4,420.64","-","-2.25%"
"Feb 21, 2020","4,532.62","4,536.05","4,540.99","4,523.69","-","-0.08%"
"Feb 20, 2020","4,536.05","4,519.19","4,550.30","4,503.68","-","0.37%"
"Feb 19, 2020","4,519.19","4,543.62","4,568.83","4,494.48","-","-0.54%"
"Feb 18, 2020","4,543.62","4,631.33","4,631.80","4,543.39","-","-1.89%"
"Feb 17, 2020","4,631.33","4,655.86","4,657.43","4,618.82","-","-0.53%"
"Feb 14, 2020","4,655.86","4,659.81","4,670.34","4,627.48","-","-0.08%"
"Feb 13, 2020","4,659.81","4,667.90","4,667.90","4,625.90","-","-0.17%"
"Feb 12, 2020","4,667.90","4,660.27","4,688.14","4,655.79","-","0.16%"
"Feb 11, 2020","4,660.27","4,627.63","4,660.88","4,627.63","-","0.71%"
"Feb 10, 2020","4,627.63","4,686.83","4,688.03","4,619.97","-","-1.26%"
"Feb 07, 2020","4,686.83","4,699.53","4,705.75","4,658.59","-","-0.27%"
"Feb 06, 2020","4,699.53","4,675.28","4,710.61","4,675.28","-","0.52%"
"Feb 05, 2020","4,675.28","4,669.25","4,710.08","4,665.86","-","0.13%"
"Feb 04, 2020","4,669.25","4,579.45","4,685.89","4,579.45","-","1.96%"
"Feb 03, 2020","4,579.45","4,572.06","4,605.01","4,571.08","-","0.16%"
"Jan 31, 2020","4,572.06","4,550.91","4,589.34","4,538.99","-","0.46%"
"Jan 30, 2020","4,550.91","4,573.85","4,573.85","4,516.97","-","-0.50%"
"Jan 29, 2020","4,573.85","4,570.42","4,582.60","4,551.61","-","0.08%"
